time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.167	1.3708	5.13867	0.241701	0.208792	radar	4.63642	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3879	1.44551	5.09413	0.259921	0.218855	lidar	1.0422	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.617	1.52466	4.88051	0.280226	0.232582	radar	2.64343	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8343	1.55002	4.83103	0.272638	0.208416	lidar	1.15619	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1043	1.60334	5.02405	0.271903	0.193016	radar	2.60477	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3865	1.64761	5.08286	0.265998	0.173175	lidar	2.23478	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6163	1.70194	4.98979	0.270249	0.168063	radar	0.633877	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8438	1.76358	4.96555	0.277059	0.16607	lidar	0.241809	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1033	1.85649	5.1539	0.293355	0.175049	radar	1.46158	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3488	1.88289	5.12568	0.278691	0.145517	lidar	0.686726	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6065	1.94564	5.23639	0.279634	0.136682	radar	0.601964	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8091	2.07975	5.1875	0.320844	0.179869	lidar	3.21499	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0791	2.19383	5.37392	0.340283	0.191531	radar	2.491	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.287	2.33491	5.32967	0.378705	0.227703	lidar	2.55632	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4597	2.47519	4.98183	0.42255	0.272888	radar	11.0011	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7093	2.58978	5.02943	0.438149	0.27531	lidar	0.917319	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9288	2.69999	5.00363	0.454173	0.278444	radar	0.124481	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1576	2.85457	5.04859	0.48712	0.302044	lidar	0.64542	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4099	2.97205	5.25075	0.492783	0.286826	radar	1.26273	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.617	3.03806	5.15767	0.483952	0.25809	lidar	2.33672	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8491	3.20024	5.28786	0.512553	0.276026	radar	3.34749	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0621	3.39522	5.32513	0.557309	0.314455	lidar	0.951774	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.271	3.56282	5.19807	0.590444	0.339865	radar	2.68618	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4864	3.75002	5.24469	0.62479	0.361393	lidar	0.486865	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6965	3.88361	5.20454	0.634213	0.351045	radar	1.05847	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9187	4.02244	5.20526	0.641702	0.338627	lidar	0.228035	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1139	4.1768	5.04441	0.664014	0.349647	radar	1.38344	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3088	4.37209	5.09046	0.697632	0.369659	lidar	0.380596	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5201	4.53746	5.16598	0.710455	0.360998	radar	0.714166	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6965	4.70122	5.13295	0.729891	0.362563	lidar	0.494719	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8511	4.87295	4.83817	0.764513	0.392082	radar	2.99443	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0097	5.1026	4.90625	0.811388	0.425797	lidar	0.83184	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.183	5.26029	4.88837	0.822155	0.41247	radar	1.43998	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3371	5.4422	4.87768	0.845792	0.416074	lidar	0.123761	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.497	5.59532	4.80264	0.855787	0.403752	radar	2.65995	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6844	5.71745	4.7442	0.844359	0.365056	lidar	1.22879	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8338	5.89762	4.66777	0.867748	0.374287	radar	0.503945	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0027	6.10049	4.73013	0.889394	0.378379	lidar	1.07587	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1568	6.30392	4.80928	0.911265	0.38042	radar	0.971217	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2761	6.55746	4.88545	0.960565	0.417525	lidar	0.993969	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4107	6.76614	4.8716	0.986146	0.424656	radar	0.277669	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5562	6.89819	4.75633	0.977922	0.388407	lidar	1.2911	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7073	7.10822	4.89758	0.989899	0.374508	radar	0.784134	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.905	7.2481	4.84131	0.965235	0.322343	lidar	3.61555	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9979	7.43178	4.6146	0.996937	0.348156	radar	3.49084	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0838	7.71702	4.74512	1.05648	0.3996	lidar	1.9681	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2075	7.92031	4.78648	1.06962	0.388851	radar	0.279649	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2845	8.14398	4.78018	1.10514	0.407619	lidar	1.2746	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3844	8.35451	4.83727	1.12191	0.398371	radar	2.10684	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4801	8.49341	4.67353	1.12024	0.371111	lidar	3.0233	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5754	8.69211	4.60456	1.1389	0.373582	radar	0.410532	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.735	8.87202	4.59242	1.1255	0.336155	lidar	3.98937	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8142	9.08188	4.50119	1.15374	0.354749	radar	0.874519	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9391	9.32563	4.60157	1.16873	0.353125	lidar	3.48595	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9924	9.52909	4.42428	1.20491	0.383874	radar	2.09888	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0725	9.78652	4.52968	1.23638	0.399723	lidar	1.27012	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1339	10.0421	4.68109	1.26645	0.406929	radar	7.52301	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1772	10.336	4.81674	1.31379	0.439998	lidar	1.21406	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.196	10.5639	4.67622	1.35903	0.477358	radar	2.77679	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2491	10.8535	4.81295	1.39384	0.491668	lidar	2.22481	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2749	11.1201	4.90917	1.42701	0.498648	radar	4.86398	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.31	11.3574	4.89665	1.44944	0.495657	lidar	0.00876691	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2612	11.5933	4.66931	1.522	0.573394	radar	9.95115	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3314	11.8309	4.68405	1.52643	0.546284	lidar	4.9113	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3545	12.0723	4.85797	1.53225	0.501813	radar	3.9857	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3349	12.3776	5.00873	1.57617	0.524643	lidar	0.974695	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2876	12.6082	4.83247	1.63242	0.578075	radar	3.00714	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3154	12.8394	4.80078	1.64177	0.55594	lidar	1.96305	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3085	13.0616	4.75015	1.66328	0.549418	radar	2.06331	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2764	13.2653	4.67391	1.69075	0.548511	lidar	0.875048	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2399	13.4984	4.71876	1.71545	0.53886	radar	1.33863	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2135	13.7687	4.80612	1.74004	0.5373	lidar	1.45551	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1626	13.9882	4.73363	1.77398	0.551571	radar	0.775247	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1008	14.2553	4.82729	1.80683	0.558565	lidar	0.438287	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0296	14.4835	4.82943	1.83782	0.559954	radar	1.35614	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9127	14.7533	4.95536	1.88549	0.583068	lidar	1.11254	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.847	14.9694	4.94215	1.90074	0.554998	radar	3.39269	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8257	15.1738	4.82386	1.90535	0.528595	lidar	2.2372	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7048	15.3674	4.60861	1.9786	0.624389	radar	7.56385	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6878	15.5351	4.43444	1.98241	0.5928	lidar	3.01593	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6063	15.7256	4.41398	2.00511	0.579396	radar	1.20254	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4915	15.9542	4.50482	2.03894	0.585531	lidar	0.238009	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3949	16.1575	4.54863	2.05303	0.551775	radar	1.8166	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2842	16.3373	4.50453	2.08351	0.554593	lidar	0.347961	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1738	16.526	4.48254	2.11237	0.557855	radar	0.203657	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0273	16.7587	4.61604	2.14513	0.564084	lidar	0.493179	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8709	16.95	4.59546	2.20741	0.636269	radar	6.72679	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6703	17.2191	4.87495	2.24731	0.646484	lidar	2.11589	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5715	17.4218	4.85354	2.22686	0.543243	radar	5.94467	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.342	17.6331	5.01846	2.27603	0.566768	lidar	3.6058	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2014	17.8299	5.01539	2.27818	0.512998	radar	2.20481	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0804	18.0052	4.91663	2.29281	0.501405	lidar	1.04391	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9062	18.1566	4.85371	2.33772	0.539002	radar	2.15672	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7958	18.278	4.64676	2.35782	0.531342	lidar	1.07628	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6707	18.451	4.59731	2.36495	0.502656	radar	6.53904	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4589	18.6502	4.75887	2.39363	0.506617	lidar	0.62204	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2834	18.7861	4.71062	2.42954	0.526091	radar	1.7782	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1307	18.9149	4.6163	2.45409	0.524184	lidar	0.212924	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9636	19.0851	4.63712	2.46617	0.502759	radar	3.0531	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7409	19.2064	4.67522	2.507	0.519241	lidar	2.75104	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5459	19.364	4.72908	2.53122	0.522064	radar	3.27203	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3011	19.5421	4.90702	2.55612	0.520175	lidar	0.748809	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0804	19.6226	4.85972	2.60824	0.560295	radar	10.149	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8713	19.7689	4.89829	2.6283	0.551784	lidar	0.700905	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6896	19.8887	4.78724	2.63303	0.50262	radar	3.27399	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4438	20.0531	4.94162	2.64921	0.492096	lidar	1.07123	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2194	20.2045	5.00152	2.6593	0.470295	radar	5.46972	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0471	20.3238	4.89988	2.67239	0.460275	lidar	2.02294	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8148	20.4072	4.90546	2.71037	0.484013	radar	2.17607	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6035	20.5229	4.89928	2.72752	0.476738	lidar	0.5998	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3578	20.6159	4.97	2.76304	0.501598	radar	1.20083	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1146	20.6867	4.97254	2.79572	0.509498	lidar	0.677593	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8709	20.7624	5.01336	2.83017	0.528805	radar	0.312645	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5901	20.8285	5.10078	2.86397	0.535509	lidar	1.38787	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3336	20.8644	5.16006	2.91544	0.583783	radar	2.24602	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0996	20.8959	5.09342	2.95103	0.591445	lidar	0.272953	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8665	20.9558	5.05158	2.9718	0.578861	radar	1.86009	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6959	20.9828	4.85264	3.0007	0.58257	lidar	2.22897	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4352	21.0279	4.92419	3.0267	0.58024	radar	2.52008	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.19	21.0636	4.93357	3.05174	0.575799	lidar	0.129135	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9522	21.0833	4.93667	3.08268	0.583012	radar	0.95436	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7199	21.0482	4.87272	3.12926	0.603121	lidar	1.90912	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4742	21.0342	4.87081	-3.11851	0.60897	radar	1.06951	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2718	21.0219	4.77118	-3.0857	0.613931	lidar	0.62596	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
